School_Year,Run_Type,Reason,Boro,Bus_Company_Name,School_Age_or_PreK,Number_Of_Students_On_The_Bus,Occurred_On_Hour,Occurred_On_Month,How_Long_Delayed,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,11,46-60 Min,No,No,No
2019-2020,Special Ed AM Run,Mechanical Problem,Westchester,THOMAS BUSES INC (B2192),School-Age,0,7,3,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,12,61-90 Min,Yes,Yes,Yes
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,1,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,3,7,10,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,7,7,12,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Mechanical Problem,Nassau County,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,11,31-45 Min,No,No,No
2018-2019,Special Ed AM Run,Flat Tire,Queens,L & M BUS CORP (A),School-Age,0,6,2,16-30 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,9,16-30 Min,No,No,No
2019-2020,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,2,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,5,46-60 Min,Yes,Yes,Yes
2022-2023,Special Ed PM Run,Heavy Traffic,Manhattan,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,13,5,61-90 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Other,Brooklyn,"THOMAS BUSES, INC.",Pre-K,0,7,1,46-60 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,10,16-30 Min,Yes,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Nassau County,"BORO TRANSIT, INC.",School-Age,0,8,6,16-30 Min,No,No,No
2018-2019,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,2,0-15 Min,Yes,No,No
2018-2019,Special Ed AM Run,Accident,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,1,1,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,HOYT TRANSPORTATION CORP.,School-Age,2,7,3,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Queens,MUTUAL BUS CORP. (B2321),School-Age,0,7,9,31-45 Min,Yes,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,3,7,3,31-45 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Mechanical Problem,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,10,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,5,1,46-60 Min,Yes,Yes,No
2019-2020,General Ed AM Run,Mechanical Problem,Brooklyn,SNT BUS INC,School-Age,0,6,11,46-60 Min,Yes,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,11,46-60 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,2,7,9,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Manhattan,PRIDE TRANSPORTATION (SCH AGE),School-Age,4,8,2,46-60 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,7,7,2,31-45 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,3,6,1,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,PRIDE TRANSPORTATION (SCH AGE),School-Age,7,7,10,61-90 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,9,31-45 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Flat Tire,Bronx,"DON THOMAS BUSES, INC. (B2321)",School-Age,7,15,10,0-15 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,4,7,12,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,4,8,4,31-45 Min,Yes,Yes,Yes
2018-2019,General Ed AM Run,Heavy Traffic,Queens,EMPIRE STATE BUS CORP.,School-Age,8,7,5,16-30 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Other,Queens,ALLIED TRANSIT CORP.,School-Age,5,6,10,16-30 Min,No,No,No
2019-2020,General Ed AM Run,Heavy Traffic,Queens,EMPIRE STATE BUS CORP.,School-Age,0,6,1,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Nassau County,CAREFUL BUS,School-Age,5,7,12,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Problem Run,Bronx,G.V.C. LTD. (B2192),School-Age,4,7,10,0-15 Min,Yes,Yes,No
2019-2020,General Ed PM Run,Other,Queens,JOFAZ TRANSPORTATION INC.,School-Age,0,14,10,31-45 Min,Yes,No,No
2018-2019,General Ed AM Run,Heavy Traffic,Bronx,BOBBY`S BUS CO. INC.,School-Age,0,15,6,46-60 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,HOYT TRANSPORTATION CORP.,School-Age,2,7,9,0-15 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Mechanical Problem,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,13,2,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,3,16-30 Min,Yes,No,No
2021-2022,Pre-K/EI,Heavy Traffic,Brooklyn,L & M BUS CORP.,Pre-K,12,8,5,0-15 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Manhattan,SNT BUS INC,School-Age,0,6,11,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Mechanical Problem,Westchester,CHILDREN`S TRANS INC. (B2321),School-Age,0,6,9,46-60 Min,Yes,Yes,Yes
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,3,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,7,10,31-45 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,3,8,10,0-15 Min,Yes,No,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,PHILLIPS BUS SERVICE,Pre-K,0,5,12,46-60 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE STATE BUS CORP.,School-Age,5,7,9,16-30 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Queens,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,2,7,11,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,8,7,4,16-30 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,10,46-60 Min,No,No,No
2019-2020,Special Ed AM Run,Mechanical Problem,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,7,11,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,7,12,31-45 Min,No,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,HOYT TRANSPORTATION CORP.,School-Age,6,7,5,31-45 Min,Yes,Yes,No
2020-2021,Special Ed PM Run,Other,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,14,10,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,4,7,2,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,11,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Nassau County,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,12,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),School-Age,2,7,11,61-90 Min,No,No,No
2021-2022,Special Ed PM Run,Other,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,3,31-45 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,6,31-45 Min,No,No,No
2021-2022,Pre-K/EI,Heavy Traffic,Brooklyn,L & M BUS CORP.,Pre-K,0,6,11,16-30 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Mechanical Problem,Queens,FIRST STEPS TRANS INC. (B2192),School-Age,0,14,9,61-90 Min,No,No,No
2022-2023,Special Ed PM Run,Problem Run,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,13,2,61-90 Min,No,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,9,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,2,6,12,31-45 Min,No,No,No
2018-2019,Special Ed AM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,7,1,0-15 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,0,7,1,16-30 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Weather Conditions,Bronx,"G.V.C., LTD.",Pre-K,0,14,11,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Accident,Bronx,G.V.C. LTD. (B2192),School-Age,1,7,10,16-30 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,2,7,11,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,5,8,6,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Other,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,6,5,46-60 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,16,3,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,4,6,5,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,10,61-90 Min,Yes,Yes,Yes
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,1,46-60 Min,No,No,No
2018-2019,Special Ed AM Run,Other,Brooklyn,Y & M TRANSIT CORP (B2192),School-Age,0,6,12,16-30 Min,No,No,No
2020-2021,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,1,0-15 Min,No,No,No
2021-2022,Special Ed AM Run,Problem Run,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,3,7,11,61-90 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,12,16-30 Min,Yes,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,8,10,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,6,1,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed PM Run,Other,Bronx,VAN TRANS LLC (B2192),School-Age,0,14,3,0-15 Min,Yes,Yes,No
2019-2020,Special Ed PM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,14,10,16-30 Min,Yes,No,No
2020-2021,Special Ed AM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,0,7,1,0-15 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,7,10,16-30 Min,Yes,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,6,2,31-45 Min,Yes,Yes,Yes
2020-2021,Special Ed AM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,12,16-30 Min,Yes,Yes,No
2019-2020,Special Ed PM Run,Heavy Traffic,Bronx,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,14,12,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,6,12,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,7,12,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,6,1,31-45 Min,No,Yes,No
2019-2020,General Ed AM Run,Mechanical Problem,Brooklyn,JOFAZ TRANSPORTATION INC.,School-Age,0,6,10,31-45 Min,Yes,No,No
2019-2020,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,9,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,4,7,6,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,6,1,46-60 Min,No,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,6,7,2,16-30 Min,Yes,No,No
2021-2022,General Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,1,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Westchester,VAN TRANS LLC (B2192),School-Age,0,6,11,0-15 Min,Yes,Yes,Yes
2020-2021,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,4,8,5,0-15 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Westchester,VAN TRANS LLC (B2192),School-Age,1,7,11,16-30 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,LOGAN BUS COMPANY INC.,School-Age,1,6,9,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,1,6,3,31-45 Min,No,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Queens,HOYT TRANSPORTATION CORP.,School-Age,5,7,10,0-15 Min,Yes,No,No
2021-2022,Special Ed AM Run,Other,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,6,6,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Mechanical Problem,Manhattan,FIRST STEPS TRANS INC. (B2192),School-Age,0,6,11,61-90 Min,Yes,Yes,Yes
2020-2021,Pre-K/EI,Other,Bronx,"G.V.C., LTD.",Pre-K,6,7,3,16-30 Min,Yes,Yes,Yes
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,10,46-60 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Weather Conditions,Bronx,PHILLIPS BUS SERVICE,Pre-K,12,7,2,46-60 Min,Yes,Yes,Yes
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,2,8,4,31-45 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,"LORINDA ENTERPRISES, LTD.",School-Age,0,6,11,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,1,16-30 Min,No,No,No
2021-2022,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,7,10,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,PHILLIP BUS CORP (B2192),School-Age,3,8,5,46-60 Min,Yes,No,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,2,7,1,61-90 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,3,7,2,16-30 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Mechanical Problem,Manhattan,FIRST STEPS TRANS INC. (B2192),School-Age,0,7,1,46-60 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,6,2,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,7,10,61-90 Min,No,No,No
2020-2021,General Ed AM Run,Heavy Traffic,Queens,"GRANDPA`S BUS CO., INC.",School-Age,0,7,10,16-30 Min,No,No,No
2018-2019,Special Ed PM Run,Heavy Traffic,Bronx,LITTLE RICHIE BUS SERVICE,School-Age,0,14,4,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,12,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,All Boroughs,HOYT TRANSPORTATION CORP.,School-Age,0,8,4,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Queens,HOYT TRANSPORTATION CORP.,School-Age,0,6,5,31-45 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,14,3,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Other,Bronx,VAN TRANS LLC (B2192),School-Age,0,7,3,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed PM Run,Other,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,12,2,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Problem Run,Brooklyn,CAREFUL BUS SERVICE INC (B2192),School-Age,11,7,10,16-30 Min,Yes,Yes,No
2021-2022,General Ed AM Run,Other,Brooklyn,ALLIED TRANSIT CORP.,School-Age,0,6,6,31-45 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,CAREFUL BUS,School-Age,8,7,10,16-30 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,13,10,46-60 Min,No,No,No
2019-2020,General Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,7,7,2,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Other,Bronx,G.V.C. LTD. (B2192),School-Age,0,13,6,46-60 Min,No,No,No
2019-2020,Special Ed AM Run,Mechanical Problem,Nassau County,"BORO TRANSIT, INC.",School-Age,0,5,3,16-30 Min,Yes,Yes,No
2019-2020,General Ed AM Run,Mechanical Problem,Manhattan,SNT BUS INC,School-Age,0,7,11,16-30 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Heavy Traffic,Nassau County,HOYT TRANSPORTATION CORP.,School-Age,0,14,1,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,5,31-45 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,9,46-60 Min,No,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,1,16-30 Min,No,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,8,7,1,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),School-Age,6,7,10,46-60 Min,No,No,No
2021-2022,Special Ed AM Run,Problem Run,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,10,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,12,46-60 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,5,7,10,61-90 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Heavy Traffic,Manhattan,SNT BUS INC,School-Age,0,6,2,0-15 Min,Yes,No,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,5,10,46-60 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),School-Age,2,7,11,61-90 Min,No,No,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,1,46-60 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,1,7,4,16-30 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Other,Bronx,"G.V.C., LTD.",Pre-K,2,14,4,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Delayed by School,Bronx,HOYT TRANSPORTATION CORP.,School-Age,2,14,10,0-15 Min,Yes,Yes,No
2020-2021,General Ed AM Run,Weather Conditions,Brooklyn,SNT BUS INC,School-Age,0,7,2,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,12,16-30 Min,No,No,No
